719c0c32cd8a12c5f040f5d5e3323903e3c1253c remotes/origin/development^2~3^2~4,1440096635,,"refix of merge conflict
"
ccc51be96d7f3d86965ba3738973d9291565f1d8 remotes/origin/development^2~3^2~5,1440096555,,"refix of merge conflict
"
89fd75c8bf44420fce9c3d7fba062e138caecb20 remotes/origin/development^2~3^2~6,1440096499,,"fix of uncaught merge conflict
"
65d34243b531c2d69126352bd78e0c8bfb4fead1 remotes/origin/development^2~8,1440025913,," - More bug fixes in unit tests.
"
6abcd408253e1d575c2ac1dfafb83dc6846e6ba0 remotes/origin/development^2~9,1440025351,," - Ongoing updates to docs. Fixed bug in hibImportTests by sorting file paths.
"
371a95a4372c66c45161b45f894d9d21058ab4e9 remotes/origin/development^2~3^2~20,1439310882,,"fixed tests / implemented more tests, cleaned up covariance example
"
cb9b3b1864bb96eaff80bff69f7328bd99281371 remotes/origin/development^2~16,1439242604,," - Beginning work on documentation. javadoc target now works. Testing potential fix to JAR manifest Class-Path problem observed on Windows.
"
d5e43dda1245d52a408ef90f695aecfa22dce4f2 remotes/origin/development^2~18,1438800147,," - Fixed path bug in TestUtils::setupTestoutDirectory.
"
e4587e4d55c70072f27b516f59e365fe8ce389f2 remotes/origin/development~2^2~1,1427393252,data structure,"- Fixed bug in JPEG image header decoding logic.
"
9554c98c6abf91165bb4eeef4c32d1b2170c6203 remotes/origin/development~2^2~2,1427392281,,"- Better error handling for misconfigured build.xml file.
"
aa7dc47d4a066831c4f72f2e137ace244493b11c remotes/origin/development~2^2~8,1426728137,performance,"- Removed 3rd party libs that are redundant with Hadoop distribution.
- Expanded unit tests.
- Added unit test that causes current JPEG header decode to fail (returns null object).
- More formatting + style polish.
"
60eb19c6eb5c3872d24e49a82d5960abcdb0edd1 remotes/origin/development~2^2~10,1426279833,"data structure, file format","- Added static method computeSplits to ImageBundleInputFormat to improve code reuse.
- Streamlined JpegFromHibInputFormat to take advantage of new ImageBundleInputFormat.
- Added support for PNG in HIBs.
- Improved JpegFromHib so that it retains the proper file extension.
- Added comments and improved code style in Downloader.
- Fixed bug in PNGImageUtil that prevented the image type from being set.
"
7bf13995d23a99b4941b0d60b06e27db932fb23f remotes/origin/development~2^2~12,1426193103,IO,"Various bug fixes and code hardening in downloader, dumphib.
"
