Summary,Issue key,Issue id,Project url,Priority,,Labels,Labels,Description,Environment
Incorrect handling of default values when deserializing python wrappers of scala transformers,SPARK-23244,13134140,http://spark.apache.org,Minor,io,,,"Default values are not handled properly when serializing/deserializing python trasnformers which are wrappers around scala objects. It looks like that after deserialization the default values which were based on uid do not get properly restored and values which were not set are set to their (original) default values.

Here's a simple code example using Bucketizer:

{code:python}
>>> from pyspark.ml.feature import Bucketizer
>>> a = Bucketizer() 
>>> a.save(""bucketizer0"")
>>> b = load(""bucketizer0"") 
>>> a._defaultParamMap[a.outputCol]
u'Bucketizer_440bb49206c148989db7__output'
>>> b._defaultParamMap[b.outputCol]
u'Bucketizer_41cf9afbc559ca2bfc9a__output'
>>> a.isSet(a.outputCol)
False 
>>> b.isSet(b.outputCol)
True
>>> a.getOutputCol()
u'Bucketizer_440bb49206c148989db7__output'
>>> b.getOutputCol()
u'Bucketizer_440bb49206c148989db7__output'
{code}",
ImageSchema.readImages incorrectly sets alpha channel to 255 for four-channel images,SPARK-23205,13133510,http://spark.apache.org,Critical,io,,,"When parsing raw image data in ImageSchema.decode(), we use a [java.awt.Color constructor|https://docs.oracle.com/javase/7/docs/api/java/awt/Color.html#Color(int)] that sets alpha = 255, even for four-channel images.

See the offending line here: https://github.com/apache/spark/blob/master/mllib/src/main/scala/org/apache/spark/ml/image/ImageSchema.scala#L172

A fix is to simply update the line to: 

val color = new Color(img.getRGB(w, h), nChannels == 4)


instead of

val color = new Color(img.getRGB(w, h))",
Invalid guard condition in org.apache.spark.ml.classification.Classifier,SPARK-23152,13131983,http://spark.apache.org,Minor,,easyfix,,"When fitting a classifier that extends ""org.apache.spark.ml.classification.Classifier"" (NaiveBayes, DecisionTreeClassifier, RandomForestClassifier) a misleading NullPointerException is thrown.

Steps to reproduce: 
{code:java}
val data = spark.createDataset(Seq.empty[(Double, org.apache.spark.ml.linalg.Vector)])
new DecisionTreeClassifier().setLabelCol(""_1"").setFeaturesCol(""_2"").fit(data)
{code}
 The error: 
{code:java}
java.lang.NullPointerException: Value at index 0 is null

at org.apache.spark.sql.Row$class.getAnyValAs(Row.scala:472)
at org.apache.spark.sql.Row$class.getDouble(Row.scala:248)
at org.apache.spark.sql.catalyst.expressions.GenericRow.getDouble(rows.scala:165)
at org.apache.spark.ml.classification.Classifier.getNumClasses(Classifier.scala:115)
at org.apache.spark.ml.classification.DecisionTreeClassifier.train(DecisionTreeClassifier.scala:102)
at org.apache.spark.ml.classification.DecisionTreeClassifier.train(DecisionTreeClassifier.scala:45)
at org.apache.spark.ml.Predictor.fit(Predictor.scala:118){code}
  

The problem happens due to an incorrect guard condition in function getNumClasses at org.apache.spark.ml.classification.Classifier:106
{code:java}
val maxLabelRow: Array[Row] = dataset.select(max($(labelCol))).take(1)
if (maxLabelRow.isEmpty) {
  throw new SparkException(""ML algorithm was given empty dataset."")
}
{code}
When the input data is empty the result ""maxLabelRow"" array is not. Instead it contains a single Row(null) element.

 

Proposed solution: the condition can be modified to verify that.
{code:java}
if (maxLabelRow.isEmpty || maxLabelRow(0).get(0) == null) {
  throw new SparkException(""ML algorithm was given empty dataset."")
}
{code}
 

 ",
"Fix ChiSqSelectorModel, GaussianMixtureModel save implementation for Row order issues",SPARK-22905,13127308,http://spark.apache.org,Major,"data partition, parallelism",,,"Currently, in `ChiSqSelectorModel`, save:
{code}
spark.createDataFrame(dataArray).repartition(1).write...
{code}
The default partition number used by createDataFrame is ""defaultParallelism"",
Current RoundRobinPartitioning won't guarantee the ""repartition"" generating the same order result with local array. We need fix it.",
Chi Square selector not recognizing field in Data frame,SPARK-22295,13110073,http://spark.apache.org,Major,data structure,,,"ChiSquare selector is not recognizing the field 'class' which is present in the data frame while fitting the model. I am using PIMA Indians diabetes dataset of UCI. The complete code and output is below for reference. But, when some rows of the input file is created as a dataframe manually, it will work. Couldn't understand the pattern here.

Kindly help.

{code:python}
from pyspark.ml.feature import VectorAssembler, ChiSqSelector
import sys

file_name='data/pima-indians-diabetes.data'

df=spark.read.format(""csv"").option(""inferSchema"",""true"").option(""header"",""true"").load(file_name).cache()

df.show(1)
assembler = VectorAssembler(inputCols=['preg', ' plas', ' pres', ' skin', ' test', ' mass', ' pedi', ' age'],outputCol=""features"")
df=assembler.transform(df)
df.show(1)
try:
    css=ChiSqSelector(numTopFeatures=5, featuresCol=""features"",
                          outputCol=""selected"", labelCol='class').fit(df)
except:
    print(sys.exc_info())
{code}

Output:

+----+-----+-----+-----+-----+-----+-----+----+------+
|preg| plas| pres| skin| test| mass| pedi| age| class|
+----+-----+-----+-----+-----+-----+-----+----+------+
|   6|  148|   72|   35|    0| 33.6|0.627|  50|     1|
+----+-----+-----+-----+-----+-----+-----+----+------+
only showing top 1 row

+----+-----+-----+-----+-----+-----+-----+----+------+--------------------+
|preg| plas| pres| skin| test| mass| pedi| age| class|            features|
+----+-----+-----+-----+-----+-----+-----+----+------+--------------------+
|   6|  148|   72|   35|    0| 33.6|0.627|  50|     1|[6.0,148.0,72.0,3...|
+----+-----+-----+-----+-----+-----+-----+----+------+--------------------+
only showing top 1 row

(<class 'pyspark.sql.utils.IllegalArgumentException'>, IllegalArgumentException('Field ""class"" does not exist.', 'org.apache.spark.sql.types.StructType$$anonfun$apply$1.apply(StructType.scala:264)\n\t at org.apache.spark.sql.types.StructType$$anonfun$apply$1.apply(StructType.scala:264)\n\t at scala.collection.MapLike$class.getOrElse(MapLike.scala:128)\n\t at scala.collection.AbstractMap.getOrElse(Map.scala:59)\n\t at org.apache.spark.sql.types.StructType.apply(StructType.scala:263)\n\t at org.apache.spark.ml.util.SchemaUtils$.checkNumericType(SchemaUtils.scala:71)\n\t at org.apache.spark.ml.feature.ChiSqSelector.transformSchema(ChiSqSelector.scala:183)\n\t at org.apache.spark.ml.PipelineStage.transformSchema(Pipeline.scala:74)\n\t at org.apache.spark.ml.feature.ChiSqSelector.fit(ChiSqSelector.scala:159)\n\t at sun.reflect.NativeMethodAccessorImpl.invoke0(Native Method)\n\t at sun.reflect.NativeMethodAccessorImpl.invoke(NativeMethodAccessorImpl.java:62)\n\t at sun.reflect.DelegatingMethodAccessorImpl.invoke(DelegatingMethodAccessorImpl.java:43)\n\t at java.lang.reflect.Method.invoke(Method.java:498)\n\t at py4j.reflection.MethodInvoker.invoke(MethodInvoker.java:244)\n\t at py4j.reflection.ReflectionEngine.invoke(ReflectionEngine.java:357)\n\t at py4j.Gateway.invoke(Gateway.java:280)\n\t at py4j.commands.AbstractCommand.invokeMethod(AbstractCommand.java:132)\n\t at py4j.commands.CallCommand.execute(CallCommand.java:79)\n\t at py4j.GatewayConnection.run(GatewayConnection.java:214)\n\t at java.lang.Thread.run(Thread.java:745)'), <traceback object at 0x0B743BC0>)


*The below code works fine:
*
{code:python}
from pyspark.ml.feature import VectorAssembler, ChiSqSelector
import sys

file_name='data/pima-indians-diabetes.data'

#df=spark.read.format(""csv"").option(""inferSchema"",""true"").option(""header"",""true"").load(file_name).cache()

# Just pasted a few rows from the input file and created a data frome. This will work, but not the frame picked up from the file
df = spark.createDataFrame([
[6,148,72,35,0,33.6,0.627,50,1],
[1,85,66,29,0,26.6,0.351,31,0],
[8,183,64,0,0,23.3,0.672,32,1],
], ['preg', ' plas', ' pres', ' skin', ' test', ' mass', ' pedi', ' age', ""class""])


df.show(1)
assembler = VectorAssembler(inputCols=['preg', ' plas', ' pres', ' skin', ' test', ' mass', ' pedi', ' age'],outputCol=""features"")
df=assembler.transform(df)
df.show(1)
try:
    css=ChiSqSelector(numTopFeatures=5, featuresCol=""features"",
                          outputCol=""selected"", labelCol=""class"").fit(df)
except:
    print(sys.exc_info())

print(css.selectedFeatures)

{code}

Output:

+----+-----+-----+-----+-----+-----+-----+----+-----+
|preg| plas| pres| skin| test| mass| pedi| age|class|
+----+-----+-----+-----+-----+-----+-----+----+-----+
|   6|  148|   72|   35|    0| 33.6|0.627|  50|    1|
+----+-----+-----+-----+-----+-----+-----+----+-----+
only showing top 1 row

+----+-----+-----+-----+-----+-----+-----+----+-----+--------------------+
|preg| plas| pres| skin| test| mass| pedi| age|class|            features|
+----+-----+-----+-----+-----+-----+-----+----+-----+--------------------+
|   6|  148|   72|   35|    0| 33.6|0.627|  50|    1|[6.0,148.0,72.0,3...|
+----+-----+-----+-----+-----+-----+-----+----+-----+--------------------+
only showing top 1 row

[0, 1, 2, 3, 5]",
"CrossValidator's training and testing set with different set of labels, resulting in encoder transform error",SPARK-22034,13102730,http://spark.apache.org,Major,pipeline,,,"Let's say we have a VectorIndexer with maxCategories set to 13, and training set has a column containing month label.

In CrossValidator, dataframe is split into training and testing set automatically. If could happen that training set happens to lack month 2 (could happen by chance, or happen quite frequently if we have unbalanced label).

When training set is being trained within the cross validator, the pipeline is fitted with the training set only, resulting in a partial key map in VectorIndexer. When this pipeline is used to transform the predict set, VectorIndexer will throw  a ""key not found"" error.

Making CrossValidator also an estimator thus can be connected to a whole pipeline is a cool idea, but bug like this occurs, and is not expected.

The solution, I am guessing, would be to check each stage in the pipeline, and when we see encoder type stage, we fit the stage model with the complete dataset.","Ubuntu 16.04
Scala 2.11
Spark 2.2.0"
MultivariateOnlineSummarizer.variance generate negative result,SPARK-21818,13096988,http://spark.apache.org,Major,,,,"Because of numerical error, MultivariateOnlineSummarizer.variance is possible to generate negative variance.
This is a serious bug because many algos in MLLib use stddev computed from sqrt(variance),
it will generate NaN and crash the whole algorithm.

we can reproduce this bug use the following code:
{code}
    val summarizer1 = (new MultivariateOnlineSummarizer)
      .add(Vectors.dense(3.0), 0.7)
    val summarizer2 = (new MultivariateOnlineSummarizer)
      .add(Vectors.dense(3.0), 0.4)
    val summarizer3 = (new MultivariateOnlineSummarizer)
      .add(Vectors.dense(3.0), 0.5)
    val summarizer4 = (new MultivariateOnlineSummarizer)
      .add(Vectors.dense(3.0), 0.4)

    val summarizer = summarizer1
      .merge(summarizer2)
      .merge(summarizer3)
      .merge(summarizer4)

    println(summarizer.variance(0))
{code}",
KMeans performance regression (5-6x slowdown) in Spark 2.2,SPARK-21799,13096504,http://spark.apache.org,Major,job,,,"I've been running KMeans performance tests using [spark-sql-perf|https://github.com/databricks/spark-sql-perf/] and have noticed a regression (slowdowns of 5-6x) when running tests on large datasets in Spark 2.2 vs 2.1.

The test params are:
* Cluster: 510 GB RAM, 16 workers
* Data: 1000000 examples, 10000 features

After talking to [~josephkb], the issue seems related to the changes in [SPARK-18356|https://issues.apache.org/jira/browse/SPARK-18356] introduced in [this PR|https://github.com/apache/spark/pull/16295].

It seems `df.cache()` doesn't set the storageLevel of `df.rdd`, so `handlePersistence` is true even when KMeans is run on a cached DataFrame. This unnecessarily causes another copy of the input dataset to be persisted.

As of Spark 2.1 ([JIRA link|https://issues.apache.org/jira/browse/SPARK-16063]) `df.storageLevel` returns the correct result after calling `df.cache()`, so I'd suggest replacing instances of `df.rdd.getStorageLevel` with df.storageLevel` in MLlib algorithms (the same pattern shows up in LogisticRegression, LinearRegression, and others). I've verified this behavior in [this notebook|https://databricks-prod-cloudfront.cloud.databricks.com/public/4027ec902e239c93eaaa8714f173bcfc/5211178207246023/950505630032626/7788830288800223/latest.html]

",
Correct validateAndTransformSchema in GaussianMixture and AFTSurvivalRegression,SPARK-21793,13096276,http://spark.apache.org,Minor,job,,,"From user sharp-pixel:

The line SchemaUtils.appendColumn(schema, $(predictionCol), IntegerType) did not modify the variable schema, hence only the last line had any effect. A temporary variable is used to correctly append the two columns predictionCol and probabilityCol.",
Fix broken redirect in collaborative filtering docs to databricks training repo,SPARK-21615,13091944,http://spark.apache.org,Trivial,,documentation,easyfix,"* Current [MLlib Collaborative Filtering tutorial|https://spark.apache.org/docs/latest/mllib-collaborative-filtering.html] points to broken links to old databricks website.
* Databricks moved all their content to [git repo|https://github.com/databricks/spark-training]
* Two links needs to be fixed:
** [training exercises|https://databricks-training.s3.amazonaws.com/index.html]
** [personalized movie recommendation with spark.mllib|https://databricks-training.s3.amazonaws.com/movie-recommendation-with-mllib.html]",
