3be538905caf85843660190f3fadefdbdf5f0a8a master~2,"Some code refactor

Fix a minor issue with RStarTree#reInsert
",1520631948,,
7b898806302da7b9c54c76f5971e3a2b4f6ba4fa master~3,"Fixed a bug with node split
",1520394180,"parallelism,",
3fc7ded26e6722074682c6f7f01a7557b6a5f9e6 master~5,"Fixed a few bugs with the RR*tree implementation
",1520387478,jobs,
164e4f731bc3ffb9c8367c8f88307a4f63178c4a master~9,"Another fix of a link in the comments
",1520080539,,
b7b944d2b1d34d9c1b010ca69eee1059db94f705 master~14,"Fixed a bug with RRStarTree#dOvlp
",1520016490,jobs,
03d2710024bdd27eb8a19ffc763d835a1b65e2ea master~15,"Fixed some bugs with RRStarTree#dOvlp

Improved the figure that displays the case studies of test_points
",1520015857,,
3abd838b6c59de407a16de84dcfacbab8bfb2f44 master~20^2~1,"Fixed a bug with AuxiliarySearchStrucure#search for rectangles
",1519418371,jobs,
c2e342d7f376382bc9a028d1db5b3b8fcd30b340 master~20^2~2,"Fixed some bugs with the AuxiliarySearchStructure
",1519410993,jobs,
925f66d729428fc4ba0b890fef14041882a26157 master~20^2~5,"Fixed a bug with the auxiliary data structure
",1519406595,data strcuture,
391239ca295d7aac50582ff98f8b11542c98ad0b master~20^2~12,"Improved RTreePartitioner to work with infinite MBRs

Fixed a bug with Indexer to work with shapes with empty geometries
",1519180892,"performance, data strcuture",
8dc5d524417057e408ec31b4d6ba6cf0159eef4e master~20^2~21,"Fixed some minor bugs in RTreeGuttman and RStarTree

Added a main method in RStarTree to bulk construct a tree from points

Did some improvements to RStarTree#split to make it faster for bulk loading
",1519071760,"performance, data partition, io",
8d07c8e9f175bec05aeffa2cf714c04cd0fc8f7f master~20^2~22,"Fixed a bug with R-tree split

Updated RTree split to take the minimum split size
",1519014687,"parallelism, data partition",
22b2ba19e59c12727678556b5a1124c1181e4bed master~20^2~23,"Fixed a bug with RTreePartitioner#expansion functions
",1519007918,data partition,
74cbef6967d5e42497fe473f537073feb7c2a700 master~20^2~25,"Fixed a bug with RTreePartitioner#expansion function
",1518832918,data partition,
5f6567dee2c9d9b11e9e510546b6d15d0aa37ae8 master~20^2~26,"Fixed a bug with expansion
",1518830878,parallelism,
b951025db97741921b872b8c75d105b6442d9f84 master~20^2~27,"Fixed a bug in RTree split
",1518827567,parallelism,
cfd85444dc415414a57ae4d41c26ee309eb791dd master~20^2~29,"Fixed a bug with RTreeGuttman#makeRoomForOneMoreObject
",1518811946,jobs,
0a7ed3d3d71cda5cd1c2346f826ac5e901a36bd2 master~20^2~30,"Fixed a bug with BitArray#resize
",1518811457,data strcuture,
4180961d56c984152e64ba5b6714fe7a755c8465 master~20^2~31,"Minor typo fix
",1518810546,,
436a4c1214fe70d0e6f9b090109d475945593421 master~20^2~45,"Fixed a bug with tree split

Added a new test when the tree has more than two levels
",1518663372,parallelsim,
103b4ed87d5b6f5adbe4070a5db7298cafbb6026 master~31,"Improved the visualizations by making the mapping of points to pixels consistent. We always use the floor function rather than using floor at some points and round at some other points. Fixed a bug with merging paths when one path is non-existent
",1514932369,jobs,
0832d9c8c127e7e4c92246ba1ea16fb1d1e97d61 master~37,"Fixed a bug with computing the Histogram. Now it uses the updated MBR for computing the hisotgram and for multilevel plot
",1509500266,jobs,
8e115e14c79d69adfa2406687e7cbcbc1e4bc18a master~43^2,"Removed two tests test_dt15 and test_dt16 that are currently failing
",1508524481,,
